captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc8,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.8.median_price,prices.ebay.graded.bgs.8.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.7.median_price,prices.ebay.graded.cgc.7.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.sgc.9.median_price,prices.ebay.graded.sgc.9.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type,version
2026-08-23T17:19:56+02:00,,438,Miki Tanaka,miki-tanaka,LOR 1,1,674013,196,217,LOR,Pokémon,pokemon,26,https://images.tcggo.com/tcggo/storage/4124/lost-origin-logo.png,Lost Origin,EUR,1528.73,EUR,1584.69,2022-09-09,2,Sword & Shield,sword-shield,lost-origin,50,4099,https://images.tcggo.com/tcggo/storage/4126/oddish-lor-1-lost-origin-pokemon.png,https://www.tcggo.com/external/cm/4099,https://www.tcggo.com/external/tcgplayer/4099,Oddish,Oddish 1,0.03,0.04,15852,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.2,0.13,Common,oddish,Pokémon,https://www.tcggo.com/pokemon/lost-origin/oddish-1-2,swsh11-1,283861,singles,
2026-08-23T17:19:56+02:00,,441,Tomokazu Komiya,tomokazu-komiya,LOR 2,2,674014,196,217,LOR,Pokémon,pokemon,26,https://images.tcggo.com/tcggo/storage/4124/lost-origin-logo.png,Lost Origin,EUR,1528.73,EUR,1584.69,2022-09-09,2,Sword & Shield,sword-shield,lost-origin,80,4100,https://images.tcggo.com/tcggo/storage/4127/gloom-lor-2-lost-origin-pokemon.png,https://www.tcggo.com/external/cm/4100,https://www.tcggo.com/external/tcgplayer/4100,Gloom,Gloom 2,0.06,0.05,7946,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.95,0.15,Uncommon,gloom,Pokémon,https://www.tcggo.com/pokemon/lost-origin/gloom-2-2,swsh11-2,283862,singles,
2026-08-23T17:19:56+02:00,,535,Jiro Sasumo,jiro-sasumo,LOR 3,3,674015,196,217,LOR,Pokémon,pokemon,26,https://images.tcggo.com/tcggo/storage/4124/lost-origin-logo.png,Lost Origin,EUR,1528.73,EUR,1584.69,2022-09-09,2,Sword & Shield,sword-shield,lost-origin,150,4101,https://images.tcggo.com/tcggo/storage/4128/vileplume-lor-3-lost-origin-pokemon.png,https://www.tcggo.com/external/cm/4101,https://www.tcggo.com/external/tcgplayer/4101,Vileplume,Vileplume 3,0.26,0.18,2530,EUR,[],,,,,,,,,0.02,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.29,0.26,Rare Holo,vileplume,Pokémon,https://www.tcggo.com/pokemon/lost-origin/vileplume-3,swsh11-3,283865,singles,
2026-08-23T17:19:56+02:00,,482,Mizue,mizue,LOR 4,4,674016,196,217,LOR,Pokémon,pokemon,26,https://images.tcggo.com/tcggo/storage/4124/lost-origin-logo.png,Lost Origin,EUR,1528.73,EUR,1584.69,2022-09-09,2,Sword & Shield,sword-shield,lost-origin,70,4102,https://images.tcggo.com/tcggo/storage/4129/paras-lor-4-lost-origin-pokemon.png,https://www.tcggo.com/external/cm/4102,https://www.tcggo.com/external/tcgplayer/4102,Paras,Paras 4,0.03,0.03,10240,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.09,Common,paras,Pokémon,https://www.tcggo.com/pokemon/lost-origin/paras-4,swsh11-4,283866,singles,
2026-08-23T17:19:56+02:00,,516,Pani Kobayashi,pani-kobayashi,LOR 5,5,670810,196,217,LOR,Pokémon,pokemon,26,https://images.tcggo.com/tcggo/storage/4124/lost-origin-logo.png,Lost Origin,EUR,1528.73,EUR,1584.69,2022-09-09,2,Sword & Shield,sword-shield,lost-origin,120,4103,https://images.tcggo.com/tcggo/storage/4130/parasect-lor-5-lost-origin-pokemon.png,https://www.tcggo.com/external/cm/4103,https://www.tcggo.com/external/tcgplayer/4103,Parasect,Parasect 5,0.06,0.08,4729,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.2,0.13,rare,parasect,Pokémon,https://www.tcggo.com/pokemon/lost-origin/parasect-5,swsh11-5,283868,singles,
2026-08-23T17:19:56+02:00,,513,ryoma uratsuka,ryoma-uratsuka,LOR 6,6,674017,196,217,LOR,Pokémon,pokemon,26,https://images.tcggo.com/tcggo/storage/4124/lost-origin-logo.png,Lost Origin,EUR,1528.73,EUR,1584.69,2022-09-09,2,Sword & Shield,sword-shield,lost-origin,60,4104,https://images.tcggo.com/tcggo/storage/4131/wurmple-lor-6-lost-origin-pokemon.png,https://www.tcggo.com/external/cm/4104,https://www.tcggo.com/external/tcgplayer/4104,Wurmple,Wurmple 6,0.03,0.04,17025,EUR,[],,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,0.1,Common,wurmple,Pokémon,https://www.tcggo.com/pokemon/lost-origin/wurmple-6,swsh11-6,283870,singles,
2026-08-23T17:19:56+02:00,,484,Kagemaru Himeno,kagemaru-himeno,LOR 7,7,674018,196,217,LOR,Pokémon,pokemon,26,https://images.tcggo.com/tcggo/storage/4124/lost-origin-logo.png,Lost Origin,EUR,1528.73,EUR,1584.69,2022-09-09,2,Sword & Shield,sword-shield,lost-origin,80,4105,https://images.tcggo.com/tcggo/storage/4132/silcoon-lor-7-lost-origin-pokemon.png,https://www.tcggo.com/external/cm/4105,https://www.tcggo.com/external/tcgplayer/4105,Silcoon,Silcoon 7,0.05,0.04,6884,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,0.12,Uncommon,silcoon,Pokémon,https://www.tcggo.com/pokemon/lost-origin/silcoon-7,swsh11-7,283871,singles,
2026-08-23T17:19:56+02:00,,409,Yuu Nishida,yuu-nishida,LOR 8,8,674019,196,217,LOR,Pokémon,pokemon,26,https://images.tcggo.com/tcggo/storage/4124/lost-origin-logo.png,Lost Origin,EUR,1528.73,EUR,1584.69,2022-09-09,2,Sword & Shield,sword-shield,lost-origin,130,4106,https://images.tcggo.com/tcggo/storage/4133/beautifly-lor-8-lost-origin-pokemon.png,https://www.tcggo.com/external/cm/4106,https://www.tcggo.com/external/tcgplayer/4106,Beautifly,Beautifly 8,0.27,0.18,1574,EUR,[],,,,,,,,,0.05,0.09,0.09,0.1,0.1,0.05,0.1,0.1,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.28,0.27,Rare Holo,beautifly,Pokémon,https://www.tcggo.com/pokemon/lost-origin/beautifly-8,swsh11-8,283872,singles,
2026-08-23T17:19:56+02:00,,373,GOSSAN,gossan,LOR 9,9,674020,196,217,LOR,Pokémon,pokemon,26,https://images.tcggo.com/tcggo/storage/4124/lost-origin-logo.png,Lost Origin,EUR,1528.73,EUR,1584.69,2022-09-09,2,Sword & Shield,sword-shield,lost-origin,80,4107,https://images.tcggo.com/tcggo/storage/4134/cascoon-lor-9-lost-origin-pokemon.png,https://www.tcggo.com/external/cm/4107,https://www.tcggo.com/external/tcgplayer/4107,Cascoon,Cascoon 9,0.04,0.04,8738,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.16,0.12,Uncommon,cascoon,Pokémon,https://www.tcggo.com/pokemon/lost-origin/cascoon-9,swsh11-9,283873,singles,
2026-08-23T17:19:56+02:00,,375,Mitsuhiro Arita,mitsuhiro-arita,LOR 10,10,674021,196,217,LOR,Pokémon,pokemon,26,https://images.tcggo.com/tcggo/storage/4124/lost-origin-logo.png,Lost Origin,EUR,1528.73,EUR,1584.69,2022-09-09,2,Sword & Shield,sword-shield,lost-origin,140,4108,https://images.tcggo.com/tcggo/storage/4135/dustox-lor-10-lost-origin-pokemon.png,https://www.tcggo.com/external/cm/4108,https://www.tcggo.com/external/tcgplayer/4108,Dustox,Dustox 10,0.09,0.12,4834,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,0.15,rare,dustox,Pokémon,https://www.tcggo.com/pokemon/lost-origin/dustox-10,swsh11-10,283874,singles,
