captured_at,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs10pristine,prices.cardmarket.graded.bgs.bgs8,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.8.median_price,prices.ebay.graded.bgs.8.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.7.median_price,prices.ebay.graded.cgc.7.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.sgc.9.median_price,prices.ebay.graded.sgc.9.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.7.median_price,prices.ebay.graded.tag.7.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,359,HYOGONOSUKE,hyogonosuke,MEG 1,1,851072,132,188,MEG,Pokémon,pokemon,230,https://images.tcggo.com/tcggo/storage/24026/logof.png,Mega Evolution,EUR,1396.42,EUR,1415.81,2025-09-26,17,Mega Evolution,mega-evolution,mega-evolution,80,23820,https://images.tcggo.com/tcggo/storage/23942/bulbasaur-meg-1-mega-evolution.png,https://www.tcggo.com/external/cm/23820,https://www.tcggo.com/external/tcgplayer/23820,Bulbasaur,Bulbasaur 1,0.06,0.1,9522,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.24,Common,bulbasaur,Pokémon,https://www.tcggo.com/pokemon/mega-evolution/bulbasaur-1-6,me1-1,654340,singles
2026-08-23T17:19:56+02:00,388,Takumi Wada,takumi-wada,MEG 2,2,851073,132,188,MEG,Pokémon,pokemon,230,https://images.tcggo.com/tcggo/storage/24026/logof.png,Mega Evolution,EUR,1396.42,EUR,1415.81,2025-09-26,17,Mega Evolution,mega-evolution,mega-evolution,110,23821,https://images.tcggo.com/tcggo/storage/23954/ivysaur-meg-2-mega-evolution.png,https://www.tcggo.com/external/cm/23821,https://www.tcggo.com/external/tcgplayer/23821,Ivysaur,Ivysaur 2,0.08,0.09,3861,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.25,Common,ivysaur,Pokémon,https://www.tcggo.com/pokemon/mega-evolution/ivysaur-2-4,me1-2,654341,singles
2026-08-23T17:19:56+02:00,380,5ban Graphics,5ban-graphics,MEG 3,3,851074,132,188,MEG,Pokémon,pokemon,230,https://images.tcggo.com/tcggo/storage/24026/logof.png,Mega Evolution,EUR,1396.42,EUR,1415.81,2025-09-26,17,Mega Evolution,mega-evolution,mega-evolution,380,23822,https://images.tcggo.com/tcggo/storage/23966/mega-venusaur-ex-meg-3-mega-evolution.png,https://www.tcggo.com/external/cm/23822,https://www.tcggo.com/external/tcgplayer/23822,Mega Venusaur ex,Mega Venusaur ex 3,1.15,1.11,2389,EUR,[],,,,,,,,,,0.35,0.8,0.89,0.5,0.5,0.35,0.45,0.45,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.84,Double Rare,mega-venusaur-ex,Pokémon,https://www.tcggo.com/pokemon/mega-evolution/mega-venusaur-ex-3,me1-3,654342,singles
2026-08-23T17:19:56+02:00,404,aspara,aspara,MEG 4,4,851075,132,188,MEG,Pokémon,pokemon,230,https://images.tcggo.com/tcggo/storage/24026/logof.png,Mega Evolution,EUR,1396.42,EUR,1415.81,2025-09-26,17,Mega Evolution,mega-evolution,mega-evolution,60,23823,https://images.tcggo.com/tcggo/storage/23978/exeggcute-meg-4-mega-evolution.png,https://www.tcggo.com/external/cm/23823,https://www.tcggo.com/external/tcgplayer/23823,Exeggcute,Exeggcute 4,0.03,0.03,14740,EUR,[],,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,Common,exeggcute,Pokémon,https://www.tcggo.com/pokemon/mega-evolution/exeggcute-4-3,me1-4,654343,singles
2026-08-23T17:19:56+02:00,439,Kazumasa Yasukuni,kazumasa-yasukuni,MEG 5,5,851076,132,188,MEG,Pokémon,pokemon,230,https://images.tcggo.com/tcggo/storage/24026/logof.png,Mega Evolution,EUR,1396.42,EUR,1415.81,2025-09-26,17,Mega Evolution,mega-evolution,mega-evolution,140,23824,https://images.tcggo.com/tcggo/storage/23990/exeggutor-meg-5-mega-evolution.png,https://www.tcggo.com/external/cm/23824,https://www.tcggo.com/external/tcgplayer/23824,Exeggutor,Exeggutor 5,0.03,0.03,16275,EUR,[],,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,Uncommon,exeggutor,Pokémon,https://www.tcggo.com/pokemon/mega-evolution/exeggutor-5-3,me1-5,654344,singles
2026-08-23T17:19:56+02:00,473,Yuriko Akase,yuriko-akase,MEG 6,6,851077,132,188,MEG,Pokémon,pokemon,230,https://images.tcggo.com/tcggo/storage/24026/logof.png,Mega Evolution,EUR,1396.42,EUR,1415.81,2025-09-26,17,Mega Evolution,mega-evolution,mega-evolution,80,23825,https://images.tcggo.com/tcggo/storage/24002/tangela-meg-6-mega-evolution.png,https://www.tcggo.com/external/cm/23825,https://www.tcggo.com/external/tcgplayer/23825,Tangela,Tangela 6,0.03,0.03,14177,EUR,[],,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,Common,tangela,Pokémon,https://www.tcggo.com/pokemon/mega-evolution/tangela-6,me1-6,654345,singles
2026-08-23T17:19:56+02:00,470,REND,rend,MEG 7,7,851078,132,188,MEG,Pokémon,pokemon,230,https://images.tcggo.com/tcggo/storage/24026/logof.png,Mega Evolution,EUR,1396.42,EUR,1415.81,2025-09-26,17,Mega Evolution,mega-evolution,mega-evolution,150,23826,https://images.tcggo.com/tcggo/storage/24014/tangrowth-meg-7-mega-evolution.png,https://www.tcggo.com/external/cm/23826,https://www.tcggo.com/external/tcgplayer/23826,Tangrowth,Tangrowth 7,0.03,0.03,16066,EUR,[],,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,Uncommon,tangrowth,Pokémon,https://www.tcggo.com/pokemon/mega-evolution/tangrowth-7,me1-7,654346,singles
2026-08-23T17:19:56+02:00,773,kamonabe,kamonabe,MEG 8,8,851079,132,188,MEG,Pokémon,pokemon,230,https://images.tcggo.com/tcggo/storage/24026/logof.png,Mega Evolution,EUR,1396.42,EUR,1415.81,2025-09-26,17,Mega Evolution,mega-evolution,mega-evolution,70,23827,https://images.tcggo.com/tcggo/storage/23838/chikorita-meg-8-mega-evolution.png,https://www.tcggo.com/external/cm/23827,https://www.tcggo.com/external/tcgplayer/23827,Chikorita,Chikorita 8,0.06,0.05,11211,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,Common,chikorita,Pokémon,https://www.tcggo.com/pokemon/mega-evolution/chikorita-8,me1-8,654347,singles
2026-08-23T17:19:56+02:00,415,nisimono,nisimono,MEG 9,9,851080,132,188,MEG,Pokémon,pokemon,230,https://images.tcggo.com/tcggo/storage/24026/logof.png,Mega Evolution,EUR,1396.42,EUR,1415.81,2025-09-26,17,Mega Evolution,mega-evolution,mega-evolution,110,23828,https://images.tcggo.com/tcggo/storage/23850/bayleef-meg-9-mega-evolution.png,https://www.tcggo.com/external/cm/23828,https://www.tcggo.com/external/tcgplayer/23828,Bayleef,Bayleef 9,0.1,0.11,4022,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.22,Common,bayleef,Pokémon,https://www.tcggo.com/pokemon/mega-evolution/bayleef-9,me1-9,654348,singles
2026-08-23T17:19:56+02:00,357,Yoriyuki Ikegami,yoriyuki-ikegami,MEG 10,10,851081,132,188,MEG,Pokémon,pokemon,230,https://images.tcggo.com/tcggo/storage/24026/logof.png,Mega Evolution,EUR,1396.42,EUR,1415.81,2025-09-26,17,Mega Evolution,mega-evolution,mega-evolution,160,23829,https://images.tcggo.com/tcggo/storage/23862/meganium-meg-10-mega-evolution.png,https://www.tcggo.com/external/cm/23829,https://www.tcggo.com/external/tcgplayer/23829,Meganium,Meganium 10,0.12,0.12,12250,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.24,rare,meganium,Pokémon,https://www.tcggo.com/pokemon/mega-evolution/meganium-10-1,me1-10,654349,singles
