captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs10black,prices.cardmarket.graded.bgs.bgs10pristine,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.sgc.9.median_price,prices.ebay.graded.sgc.9.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.7.median_price,prices.ebay.graded.tag.7.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,,819,takuyaa,takuyaa,BLK 172,172,836246,86,172,BLK,Pokémon,pokemon,223,https://images.tcggo.com/tcggo/storage/23035/black-bolt-logo.png,Black Bolt,EUR,2524.88,EUR,3066.74,2025-07-18,1,Scarlet & Violet,scarlet-violet,black-bolt,230,23085,https://images.tcggo.com/tcggo/storage/23053/zekrom-ex.png,https://www.tcggo.com/external/cm/23085,https://www.tcggo.com/external/tcgplayer/23085,Zekrom ex,Zekrom ex 172,456.51,529.99,213,EUR,,,,,575,800,,950,,510,400,399.99,399.99,300,300,400,400,400,258,258,USD,547.11,5,330.91,2,320.75,5,1429.21,1,,,598.09,5,349.13,1,299,3,1084.03,5,377.87,1,399.97,5,411.18,5,,,325.21,1,1196.16,5,308,1,,,448.56,5,EUR,519.52,396.85,Black White Rare,zekrom-ex,Pokémon,https://www.tcggo.com/pokemon/black-bolt/zekrom-ex-172,zsv10pt5-172,642623,singles
2026-08-23T17:19:56+02:00,,452,Susumu Maeya,susumu-maeya,BLK 1,1,835903,86,172,BLK,Pokémon,pokemon,223,https://images.tcggo.com/tcggo/storage/23035/black-bolt-logo.png,Black Bolt,EUR,2524.88,EUR,3066.74,2025-07-18,1,Scarlet & Violet,scarlet-violet,black-bolt,70,23086,https://images.tcggo.com/tcggo/storage/23054/snivy.png,https://www.tcggo.com/external/cm/23086,https://www.tcggo.com/external/tcgplayer/23086,Snivy,Snivy 1,0.03,0.03,13470,EUR,[],,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.22,0.1,Common,snivy,Pokémon,https://www.tcggo.com/pokemon/black-bolt/snivy-1-2,zsv10pt5-1,642450,singles
2026-08-23T17:19:56+02:00,,452,Susumu Maeya,susumu-maeya,BLK 2,2,835905,86,172,BLK,Pokémon,pokemon,223,https://images.tcggo.com/tcggo/storage/23035/black-bolt-logo.png,Black Bolt,EUR,2524.88,EUR,3066.74,2025-07-18,1,Scarlet & Violet,scarlet-violet,black-bolt,100,23087,https://images.tcggo.com/tcggo/storage/23055/servine.png,https://www.tcggo.com/external/cm/23087,https://www.tcggo.com/external/tcgplayer/23087,Servine,Servine 2,0.04,0.03,9887,EUR,[],,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,0.11,Common,servine,Pokémon,https://www.tcggo.com/pokemon/black-bolt/servine-2,zsv10pt5-2,642451,singles
2026-08-23T17:19:56+02:00,,511,PLANETA Igarashi,planeta-igarashi,BLK 3,3,835908,86,172,BLK,Pokémon,pokemon,223,https://images.tcggo.com/tcggo/storage/23035/black-bolt-logo.png,Black Bolt,EUR,2524.88,EUR,3066.74,2025-07-18,1,Scarlet & Violet,scarlet-violet,black-bolt,320,23088,https://images.tcggo.com/tcggo/storage/23056/serperior-ex.png,https://www.tcggo.com/external/cm/23088,https://www.tcggo.com/external/tcgplayer/23088,Serperior ex,Serperior ex 3,0.45,0.44,4260,EUR,[],,,,,,,,,,0.08,0.13,0.13,0.1,0.1,0.08,0.15,0.1,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.54,0.65,Double Rare,serperior-ex,Pokémon,https://www.tcggo.com/pokemon/black-bolt/serperior-ex-3,zsv10pt5-3,642452,singles
2026-08-23T17:19:56+02:00,,493,kurumitsu,kurumitsu,BLK 4,4,835910,86,172,BLK,Pokémon,pokemon,223,https://images.tcggo.com/tcggo/storage/23035/black-bolt-logo.png,Black Bolt,EUR,2524.88,EUR,3066.74,2025-07-18,1,Scarlet & Violet,scarlet-violet,black-bolt,70,23089,https://images.tcggo.com/tcggo/storage/23057/pansage.png,https://www.tcggo.com/external/cm/23089,https://www.tcggo.com/external/tcgplayer/23089,Pansage,Pansage 4,0.02,0.04,10421,EUR,[],,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,0.09,Common,pansage,Pokémon,https://www.tcggo.com/pokemon/black-bolt/pansage-4-1,zsv10pt5-4,642453,singles
2026-08-23T17:19:56+02:00,,493,kurumitsu,kurumitsu,BLK 5,5,835912,86,172,BLK,Pokémon,pokemon,223,https://images.tcggo.com/tcggo/storage/23035/black-bolt-logo.png,Black Bolt,EUR,2524.88,EUR,3066.74,2025-07-18,1,Scarlet & Violet,scarlet-violet,black-bolt,100,23090,https://images.tcggo.com/tcggo/storage/23058/simisage.png,https://www.tcggo.com/external/cm/23090,https://www.tcggo.com/external/tcgplayer/23090,Simisage,Simisage 5,0.03,0.05,9096,EUR,[],,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,0.09,Uncommon,simisage,Pokémon,https://www.tcggo.com/pokemon/black-bolt/simisage-5-1,zsv10pt5-5,642454,singles
2026-08-23T17:19:56+02:00,,497,mele,mele,BLK 6,6,835914,86,172,BLK,Pokémon,pokemon,223,https://images.tcggo.com/tcggo/storage/23035/black-bolt-logo.png,Black Bolt,EUR,2524.88,EUR,3066.74,2025-07-18,1,Scarlet & Violet,scarlet-violet,black-bolt,60,23091,https://images.tcggo.com/tcggo/storage/23059/petilil.png,https://www.tcggo.com/external/cm/23091,https://www.tcggo.com/external/tcgplayer/23091,Petilil,Petilil 6,0.04,0.04,10146,EUR,[],,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.23,0.09,Common,petilil,Pokémon,https://www.tcggo.com/pokemon/black-bolt/petilil-6-1,zsv10pt5-6,642455,singles
2026-08-23T17:19:56+02:00,,497,mele,mele,BLK 7,7,835916,86,172,BLK,Pokémon,pokemon,223,https://images.tcggo.com/tcggo/storage/23035/black-bolt-logo.png,Black Bolt,EUR,2524.88,EUR,3066.74,2025-07-18,1,Scarlet & Violet,scarlet-violet,black-bolt,100,23092,https://images.tcggo.com/tcggo/storage/23060/lilligant.png,https://www.tcggo.com/external/cm/23092,https://www.tcggo.com/external/tcgplayer/23092,Lilligant,Lilligant 7,0.04,0.06,8747,EUR,[],,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.2,0.09,Uncommon,lilligant,Pokémon,https://www.tcggo.com/pokemon/black-bolt/lilligant-7-1,zsv10pt5-7,642456,singles
2026-08-23T17:19:56+02:00,,423,mingo,mingo,BLK 8,8,835918,86,172,BLK,Pokémon,pokemon,223,https://images.tcggo.com/tcggo/storage/23035/black-bolt-logo.png,Black Bolt,EUR,2524.88,EUR,3066.74,2025-07-18,1,Scarlet & Violet,scarlet-violet,black-bolt,100,23093,https://images.tcggo.com/tcggo/storage/23061/maractus.png,https://www.tcggo.com/external/cm/23093,https://www.tcggo.com/external/tcgplayer/23093,Maractus,Maractus 8,0.05,0.03,10455,EUR,[],,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.17,0.09,Common,maractus,Pokémon,https://www.tcggo.com/pokemon/black-bolt/maractus-8-1,zsv10pt5-8,642457,singles
2026-08-23T17:19:56+02:00,,429,DOM,dom,BLK 9,9,835919,86,172,BLK,Pokémon,pokemon,223,https://images.tcggo.com/tcggo/storage/23035/black-bolt-logo.png,Black Bolt,EUR,2524.88,EUR,3066.74,2025-07-18,1,Scarlet & Violet,scarlet-violet,black-bolt,60,23094,https://images.tcggo.com/tcggo/storage/23062/karrablast.png,https://www.tcggo.com/external/cm/23094,https://www.tcggo.com/external/tcgplayer/23094,Karrablast,Karrablast 9,0.04,0.06,10639,EUR,[],,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.13,0.09,Common,karrablast,Pokémon,https://www.tcggo.com/pokemon/black-bolt/karrablast-9-2,zsv10pt5-9,642458,singles
